Code,Country,Region,Total,Female,Male,Year
AGO,Angola,Eastern and Southern Africa,0.187457809,0.1514429,0.2384445,2015
BDI,Burundi,Eastern and Southern Africa,0.071631598,0.063923702,0.0821807,2017
BEN,Benin,West and Central Africa,0.125158997,0.0780481,0.180788307,2021
BFA,Burkina Faso,West and Central Africa,0.162026997,0.1147651,0.224544907,2021
CAF,Central African Republic,West and Central Africa,0.0558253,0.049668198,0.063656802,2019
CIV,Côte d'Ivoire,West and Central Africa,0.174683399,0.132904196,0.223619499,2021
CMR,Cameroon,West and Central Africa,0.229787693,0.205041599,0.259824505,2018
COD,Democratic Republic of the Congo,West and Central Africa,0.311364994,0.267410297,0.363840408,2018
COG,Congo,West and Central Africa,0.230888004,0.195219307,0.273477402,2015
CPV,Cabo Verde,West and Central Africa,0.556475716,0.58061451,0.536161385,2020
DJI,Djibouti,Eastern and Southern Africa,0.397577209,0.351328392,0.442586517,2017
DZA,Algeria,Middle East and North Africa,0.464740486,0.592282982,0.346568413,2019
EGY,Egypt,Middle East and North Africa,0.7606,0.8022,0.7338,2017
ETH,Ethiopia,Eastern and Southern Africa,0.155432796,0.169284992,0.135291796,2019
GAB,Gabon,West and Central Africa,0.217880096,0.227805099,0.205641193,2021
GHA,Ghana,West and Central Africa,0.476772614,0.437879601,0.521620407,2022
GIN,Guinea,West and Central Africa,0.163962708,0.118452797,0.2341675,2018
GMB,Gambia,West and Central Africa,0.2879776,0.299668407,0.274399395,2020
GNB,Guinea-Bissau,West and Central Africa,0.1919,0.1588,0.2221,2019
KEN,Kenya,Eastern and Southern Africa,0.588624916,0.583203011,0.595229111,2022
LBR,Liberia,West and Central Africa,0.194216099,0.180928097,0.210054893,2019
LSO,Lesotho,Eastern and Southern Africa,0.318659592,0.369729996,0.267865105,2018
MDG,Madagascar,Eastern and Southern Africa,0.140373697,0.1341782,0.147570601,2021
MLI,Mali,West and Central Africa,0.0751,0.0521,0.1117,2020
MOZ,Mozambique,Eastern and Southern Africa,0.177609997,0.144420996,0.217393608,2022
MRT,Mauritania,West and Central Africa,0.151240597,0.111214199,0.208200607,2015
MWI,Malawi,Eastern and Southern Africa,0.154821196,0.152410202,0.1575809,2020
NAM,Namibia,Eastern and Southern Africa,0.3006,0.3219,0.2794,2015
NER,Niger,West and Central Africa,0.0158254,0.014547,0.0184284,2018
NGA,Nigeria,West and Central Africa,0.537059784,0.50577961,0.570232086,2021
RWA,Rwanda,Eastern and Southern Africa,0.206956005,0.214451008,0.196741695,2020
SEN,Senegal,West and Central Africa,0.105015097,0.097177,0.115407305,2019
SLE,Sierra Leone,West and Central Africa,0.196188908,0.174747906,0.2249716,2019
STP,Sao Tome and Principe,West and Central Africa,0.3218,0.3296,0.3143,2019
SWZ,Eswatini,Eastern and Southern Africa,0.366406784,0.401453781,0.334798203,2022
TCD,Chad,West and Central Africa,0.045202298,0.0271299,0.0693645,2019
TGO,Togo,West and Central Africa,0.212734108,0.119319401,0.313219795,2017
TUN,Tunisia,Middle East and North Africa,0.356270905,0.469704285,0.252866001,2022
UGA,Uganda,Eastern and Southern Africa,0.1568,0.1312,0.1912,2019
ZAF,South Africa,Eastern and Southern Africa,0.632065086,0.653181763,0.611625404,2021
ZMB,Zambia,Eastern and Southern Africa,0.281542301,0.254681702,0.318605709,2018
ZWE,Zimbabwe,Eastern and Southern Africa,0.139688997,0.117203999,0.165790806,2019
